PROV_,DEPTO_,COD_2010,eph_codagl,eph_aglome
02,001,020011806,32,CABA
02,001,020011807,32,CABA
02,001,020011808,32,CABA
02,001,020011809,32,CABA
02,001,020011901,32,CABA
02,001,020011902,32,CABA
02,001,020011903,32,CABA
02,001,020011904,32,CABA
02,001,020011905,32,CABA
02,001,020011906,32,CABA
02,001,020011907,32,CABA
02,001,020011908,32,CABA
02,001,020011909,32,CABA
02,001,020012001,32,CABA
02,001,020012002,32,CABA
02,001,020012003,32,CABA
02,001,020012004,32,CABA
02,001,020012005,32,CABA
02,001,020012006,32,CABA
02,001,020012007,32,CABA
02,001,020012008,32,CABA
02,001,020012009,32,CABA
02,001,020012010,32,CABA
02,001,020012101,32,CABA
02,001,020012102,32,CABA
02,001,020012103,32,CABA
02,001,020012104,32,CABA
02,001,020012105,32,CABA
02,001,020012106,32,CABA
02,001,020012107,32,CABA
02,001,020012108,32,CABA
02,001,020012109,32,CABA
02,001,020012110,32,CABA
02,001,020012201,32,CABA
02,001,020012202,32,CABA
02,001,020012203,32,CABA
02,001,020012204,32,CABA
02,001,020012205,32,CABA
02,001,020012206,32,CABA
02,001,020012207,32,CABA
02,001,020012208,32,CABA
02,001,020012209,32,CABA
02,001,020012210,32,CABA
02,001,020012301,32,CABA
02,001,020012302,32,CABA
02,001,020012303,32,CABA
02,001,020012304,32,CABA
02,001,020012305,32,CABA
02,001,020012306,32,CABA
02,001,020012307,32,CABA
02,001,020012308,32,CABA
02,001,020012309,32,CABA
02,001,020012310,32,CABA
02,001,020012401,32,CABA
02,001,020012402,32,CABA
02,001,020012403,32,CABA
02,001,020012404,32,CABA
02,001,020012405,32,CABA
02,001,020012406,32,CABA
02,001,020012407,32,CABA
02,001,020012408,32,CABA
02,001,020012501,32,CABA
02,001,020012502,32,CABA
02,001,020012503,32,CABA
02,001,020012504,32,CABA
02,001,020012505,32,CABA
02,001,020012506,32,CABA
02,001,020012507,32,CABA
02,001,020012508,32,CABA
02,001,020012509,32,CABA
02,001,020012510,32,CABA
02,001,020012511,32,CABA
02,001,020012601,32,CABA
02,001,020012602,32,CABA
02,001,020012603,32,CABA
02,001,020012604,32,CABA
02,001,020012605,32,CABA
02,001,020012606,32,CABA
02,001,020012607,32,CABA
02,001,020012608,32,CABA
02,001,020012609,32,CABA
02,001,020012701,32,CABA
02,001,020012702,32,CABA
02,001,020012703,32,CABA
02,001,020012704,32,CABA
02,001,020012705,32,CABA
02,001,020012706,32,CABA
02,001,020012707,32,CABA
02,001,020012708,32,CABA
02,001,020012709,32,CABA
02,001,020012710,32,CABA
02,001,020012801,32,CABA
02,001,020012802,32,CABA
02,001,020012803,32,CABA
02,001,020012804,32,CABA
02,001,020012805,32,CABA
02,001,020012806,32,CABA
02,001,020012807,32,CABA
02,001,020012808,32,CABA
02,001,020012809,32,CABA
02,001,020012810,32,CABA
02,001,020012811,32,CABA
02,001,020012812,32,CABA
02,001,020012813,32,CABA
02,001,020012901,32,CABA
02,001,020012902,32,CABA
02,001,020012903,32,CABA
02,001,020012904,32,CABA
02,001,020012905,32,CABA
02,001,020012906,32,CABA
02,001,020012907,32,CABA
02,001,020012908,32,CABA
02,001,020012909,32,CABA
02,002,020020101,32,CABA
02,002,020020102,32,CABA
02,002,020020201,32,CABA
02,002,020020202,32,CABA
02,002,020020203,32,CABA
02,002,020020204,32,CABA
02,002,020020205,32,CABA
02,002,020020206,32,CABA
02,002,020020207,32,CABA
02,002,020020208,32,CABA
02,002,020020301,32,CABA
02,002,020020302,32,CABA
02,002,020020303,32,CABA
02,002,020020304,32,CABA
02,002,020020305,32,CABA
02,002,020020306,32,CABA
02,002,020020307,32,CABA
02,002,020020308,32,CABA
02,002,020020401,32,CABA
02,002,020020402,32,CABA
02,002,020020403,32,CABA
02,002,020020404,32,CABA
02,002,020020405,32,CABA
02,002,020020406,32,CABA
02,002,020020407,32,CABA
02,002,020020408,32,CABA
02,002,020020409,32,CABA
02,002,020020410,32,CABA
02,002,020020501,32,CABA
02,002,020020502,32,CABA
02,002,020020503,32,CABA
02,002,020020504,32,CABA
02,002,020020505,32,CABA
02,002,020020506,32,CABA
02,002,020020507,32,CABA
02,002,020020508,32,CABA
02,002,020020509,32,CABA
02,002,020020601,32,CABA
02,002,020020602,32,CABA
02,002,020020603,32,CABA
02,002,020020604,32,CABA
02,002,020020605,32,CABA
02,002,020020606,32,CABA
02,002,020020607,32,CABA
02,002,020020608,32,CABA
02,002,020020609,32,CABA
02,002,020020610,32,CABA
02,002,020020701,32,CABA
02,002,020020702,32,CABA
02,002,020020703,32,CABA
02,002,020020704,32,CABA
02,002,020020705,32,CABA
02,002,020020706,32,CABA
02,002,020020707,32,CABA
02,002,020020708,32,CABA
02,002,020020709,32,CABA
02,002,020020801,32,CABA
02,002,020020802,32,CABA
02,002,020020803,32,CABA
02,002,020020804,32,CABA
02,002,020020805,32,CABA
02,002,020020806,32,CABA
02,002,020020807,32,CABA
02,002,020020808,32,CABA
02,002,020020901,32,CABA
02,002,020020902,32,CABA
02,002,020020903,32,CABA
02,002,020020904,32,CABA
02,002,020020905,32,CABA
